file_name,company_name,ticker,date,city,full_doc_exposure_count,full_doc_risk_percentage,full_doc_positive_count,full_doc_positive_percentage,full_doc_neutral_count,full_doc_neutral_percentage,full_doc_negative_count,full_doc_negative_percentage,full_doc_lm_positive,full_doc_lm_negative,full_doc_lm_net_sentiment,full_doc_lm_polarity,full_doc_lm_subjectivity,full_doc_coleman_liau,full_doc_dale_chall,full_doc_automated_readability,full_doc_flesch_ease,full_doc_flesch_kincaid,full_doc_gunning_fog,full_doc_smog_index,full_doc_overall,presentation_exposure_count,presentation_risk_percentage,presentation_positive_count,presentation_positive_percentage,presentation_neutral_count,presentation_neutral_percentage,presentation_negative_count,presentation_negative_percentage,presentation_lm_positive,presentation_lm_negative,presentation_lm_net_sentiment,presentation_lm_polarity,presentation_lm_subjectivity,presentation_coleman_liau,presentation_dale_chall,presentation_automated_readability,presentation_flesch_ease,presentation_flesch_kincaid,presentation_gunning_fog,presentation_smog_index,presentation_overall,analyst_qa_exposure_count,analyst_qa_risk_percentage,analyst_qa_positive_count,analyst_qa_positive_percentage,analyst_qa_neutral_count,analyst_qa_neutral_percentage,analyst_qa_negative_count,analyst_qa_negative_percentage,analyst_qa_lm_positive,analyst_qa_lm_negative,analyst_qa_lm_net_sentiment,analyst_qa_lm_polarity,analyst_qa_lm_subjectivity,analyst_qa_coleman_liau,analyst_qa_dale_chall,analyst_qa_automated_readability,analyst_qa_flesch_ease,analyst_qa_flesch_kincaid,analyst_qa_gunning_fog,analyst_qa_smog_index,analyst_qa_overall,executive_qa_exposure_count,executive_qa_risk_percentage,executive_qa_positive_count,executive_qa_positive_percentage,executive_qa_neutral_count,executive_qa_neutral_percentage,executive_qa_negative_count,executive_qa_negative_percentage,executive_qa_lm_positive,executive_qa_lm_negative,executive_qa_lm_net_sentiment,executive_qa_lm_polarity,executive_qa_lm_subjectivity,executive_qa_coleman_liau,executive_qa_dale_chall,executive_qa_automated_readability,executive_qa_flesch_ease,executive_qa_flesch_kincaid,executive_qa_gunning_fog,executive_qa_smog_index,executive_qa_overall
10346337_T.xml,B&M European Value Retail SA,BME.L,05-26-2016,London,0,0.0,38,40.0,55,57.89473684210527,2,2.1052631578947367,122,65,57,0.3048128325945838,0.05745007678726572,8.94,6.4,11.6,58.62,10.3,10.1,12.7,9.5,0,0.0,34,54.83870967741935,26,41.935483870967744,2,3.225806451612903,82,32,50,0.4385964873807326,0.054156769570471844,8.53,6.71,11.8,57.4,10.8,10.82,12.5,10.0,0,0.0,0,0.0,2,100.0,0,0.0,4,0,4,0.9999997500000625,0.0784313710111496,10.55,8.06,10.8,47.79,10.3,9.33,12.6,10.0,0,0.0,4,12.5,28,87.5,0,0.0,36,33,3,0.0434782602394455,0.0627843493514246,9.63,6.92,11.2,51.89,10.8,10.14,12.9,10.0
10406832_T.xml,Univest Financial Corp,UVSP,10-27-2016,SOUDERTON,1,0.0,8,21.052631578947366,30,78.94736842105263,0,0.0,35,27,8,0.12903225598335072,0.05201342277515652,8.7,6.66,9.5,62.88,8.7,8.83,11.3,8.0,1,0.0,1,14.285714285714285,6,85.71428571428571,0,0.0,5,5,0,0.0,0.04651162769064359,14.39,9.2,18.7,33.95,13.6,12.82,15.5,13.0,0,0.0,4,40.0,6,60.0,0,0.0,11,11,0,0.0,0.06940063069589707,8.47,7.25,8.2,64.1,8.2,8.95,10.4,7.5,0,0.0,10,47.61904761904761,11,52.38095238095239,0,0.0,19,11,8,0.26666665777777804,0.04545454538567493,7.48,6.68,8.0,71.55,7.4,8.68,10.7,7.5
10564986_T.xml,IRB Infrastructure Developers Ltd,IRB.NSE,08-11-2016,Mumbai,0,0.0,7,12.280701754385964,49,85.96491228070175,1,1.7543859649122806,43,54,-11,-0.1134020606865767,0.04528478055775687,8.98,6.39,9.3,65.12,7.8,7.42,10.9,7.5,0,0.0,2,20.0,8,80.0,0,0.0,9,4,5,0.3846153550295881,0.03457446799315301,12.0,9.35,14.5,48.09,10.2,9.68,12.7,9.5,0,0.0,3,10.0,27,90.0,0,0.0,21,35,-14,-0.24999999553571436,0.050044682707734864,8.11,6.42,7.9,65.52,7.6,7.28,10.3,7.5,0,0.0,1,5.555555555555555,16,88.88888888888889,1,5.555555555555555,13,15,-2,-0.07142856887755111,0.04327666144779496,9.28,7.27,9.2,64.3,8.1,8.24,11.1,7.5
10564988_T.xml,IRB Infrastructure Developers Ltd,IRB.NSE,11-22-2016,Mumbai,1,0.0,6,7.228915662650602,77,92.7710843373494,0,0.0,60,78,-18,-0.13043478166351608,0.044863459023126315,8.93,6.29,9.8,62.78,8.7,8.39,11.5,8.0,0,0.0,3,30.0,7,70.0,0,0.0,7,3,4,0.39999996000000404,0.025773195809862898,11.54,9.02,14.7,46.17,10.9,9.98,12.9,10.0,1,0.0,1,1.9230769230769231,51,98.07692307692307,0,0.0,42,55,-13,-0.13402061717504518,0.04908906880106828,8.87,6.38,9.0,63.9,8.3,8.09,11.2,8.0,0,0.0,1,4.761904761904762,20,95.23809523809523,0,0.0,11,20,-9,-0.29032257127991706,0.043539325781545894,8.36,7.26,10.5,67.28,9.0,10.62,11.6,8.0
10686272_T.xml,ParkerVision Inc,PRKR,11-14-2016,Jacksonville,7,28.57142857142857,22,43.13725490196079,28,54.90196078431373,1,1.9607843137254901,86,80,6,0.03614457809551459,0.09600925384846197,10.39,7.24,13.4,49.15,11.9,11.64,13.7,11.5,6,16.666666666666664,17,41.46341463414634,23,56.09756097560976,1,2.4390243902439024,76,52,24,0.18749999853515625,0.09221902010647044,11.49,7.57,14.5,40.08,13.3,12.29,14.4,14.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,-0.0,0.0,0.0,0.0,-15.81,0.0,0.0,206.84,-15.7,0.0,0.0,1.0,2,0.0,4,36.36363636363637,6,54.54545454545454,1,9.090909090909092,10,28,-18,-0.4736841980609422,0.11143694981983299,7.78,7.14,9.9,67.99,8.8,10.33,10.8,8.0
